benchmark,run,result
quadratic,baseline,785
quadratic,tdce,783
quadratic,lvnTdce,509
primes-between,baseline,574100
primes-between,tdce,574100
primes-between,lvnTdce,574100
birthday,baseline,484
birthday,tdce,483
birthday,lvnTdce,438
orders,baseline,5352
orders,tdce,5352
orders,lvnTdce,5352
sum-check,baseline,5018
sum-check,tdce,5018
sum-check,lvnTdce,5018
palindrome,baseline,298
palindrome,tdce,298
palindrome,lvnTdce,298
totient,baseline,253
totient,tdce,253
totient,lvnTdce,253
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,lvnTdce,1743
hanoi,baseline,99
hanoi,tdce,99
hanoi,lvnTdce,99
is-decreasing,baseline,127
is-decreasing,tdce,127
is-decreasing,lvnTdce,121
check-primes,baseline,8468
check-primes,tdce,8419
check-primes,lvnTdce,5845
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3038
sum-sq-diff,lvnTdce,2133
fitsinside,baseline,10
fitsinside,tdce,10
fitsinside,lvnTdce,10
fact,baseline,229
fact,tdce,228
fact,lvnTdce,167
loopfact,baseline,116
loopfact,tdce,115
loopfact,lvnTdce,80
recfact,baseline,104
recfact,tdce,103
recfact,lvnTdce,81
factors,baseline,72
factors,tdce,72
factors,lvnTdce,72
perfect,baseline,232
perfect,tdce,232
perfect,lvnTdce,232
bitshift,baseline,167
bitshift,tdce,167
bitshift,lvnTdce,136
digital-root,baseline,247
digital-root,tdce,247
digital-root,lvnTdce,247
up-arrow,baseline,252
up-arrow,tdce,252
up-arrow,lvnTdce,252
sum-divisors,baseline,159
sum-divisors,tdce,159
sum-divisors,lvnTdce,159
ackermann,baseline,1464231
ackermann,tdce,1464231
ackermann,lvnTdce,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
pythagorean_triple,lvnTdce,61518
dot-product,baseline,88
dot-product,tdce,88
dot-product,lvnTdce,88
euclid,baseline,563
euclid,tdce,562
euclid,lvnTdce,439
binary-fmt,baseline,100
binary-fmt,tdce,100
binary-fmt,lvnTdce,100
lcm,baseline,2326
lcm,tdce,2326
lcm,lvnTdce,2326
gcd,baseline,46
gcd,tdce,46
gcd,lvnTdce,46
catalan,baseline,659378
catalan,tdce,659378
catalan,lvnTdce,659378
armstrong,baseline,133
armstrong,tdce,133
armstrong,lvnTdce,133
pascals-row,baseline,146
pascals-row,tdce,139
pascals-row,lvnTdce,71
collatz,baseline,169
collatz,tdce,169
collatz,lvnTdce,169
sum-bits,baseline,73
sum-bits,tdce,73
sum-bits,lvnTdce,73
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
rectangles-area-difference,lvnTdce,14
mod_inv,baseline,558
mod_inv,tdce,556
mod_inv,lvnTdce,369
reverse,baseline,46
reverse,tdce,46
reverse,lvnTdce,43
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
fizz-buzz,lvnTdce,2251
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
bitwise-ops,lvnTdce,1689
cholesky,baseline,3761
cholesky,tdce,3751
cholesky,lvnTdce,incorrect
mat-inv,baseline,1044
mat-inv,tdce,1044
mat-inv,lvnTdce,incorrect
function_call,baseline,timeout
function_call,tdce,timeout
function_call,lvnTdce,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tdce,142
ray-sphere-intersection,lvnTdce,124
conjugate-gradient,baseline,1999
conjugate-gradient,tdce,1999
conjugate-gradient,lvnTdce,incorrect
n_root,baseline,733
n_root,tdce,733
n_root,lvnTdce,incorrect
newton,baseline,217
newton,tdce,217
newton,lvnTdce,217
euler,baseline,1908
euler,tdce,1907
euler,lvnTdce,1907
riemann,baseline,298
riemann,tdce,298
riemann,lvnTdce,298
mandelbrot,baseline,2720947
mandelbrot,tdce,2720813
mandelbrot,lvnTdce,incorrect
norm,baseline,505
norm,tdce,505
norm,lvnTdce,incorrect
cordic,baseline,517
cordic,tdce,516
cordic,lvnTdce,incorrect
pow,baseline,36
pow,tdce,34
pow,lvnTdce,29
sqrt,baseline,322
sqrt,tdce,321
sqrt,lvnTdce,293
quickselect,baseline,279
quickselect,tdce,279
quickselect,lvnTdce,279
sieve,baseline,3482
sieve,tdce,3481
sieve,lvnTdce,3481
bubblesort,baseline,253
bubblesort,tdce,253
bubblesort,lvnTdce,253
primitive-root,baseline,11029
primitive-root,tdce,11029
primitive-root,lvnTdce,11029
adler32,baseline,6851
adler32,tdce,6851
adler32,lvnTdce,6851
adj2csr,baseline,56629
adj2csr,tdce,56629
adj2csr,lvnTdce,56629
csrmv,baseline,121202
csrmv,tdce,121202
csrmv,lvnTdce,121202
major-elm,baseline,47
major-elm,tdce,47
major-elm,lvnTdce,47
max-subarray,baseline,193
max-subarray,tdce,193
max-subarray,lvnTdce,193
mat-mul,baseline,1990407
mat-mul,tdce,1990407
mat-mul,lvnTdce,1990407
fib,baseline,121
fib,tdce,121
fib,lvnTdce,121
vsmul,baseline,86036
vsmul,tdce,86036
vsmul,lvnTdce,86036
quicksort-hoare,baseline,27333
quicksort-hoare,tdce,27333
quicksort-hoare,lvnTdce,27333
quicksort,baseline,264
quicksort,tdce,264
quicksort,lvnTdce,264
two-sum,baseline,98
two-sum,tdce,88
two-sum,lvnTdce,85
eight-queens,baseline,1006454
eight-queens,tdce,959702
eight-queens,lvnTdce,959702
binary-search,baseline,78
binary-search,tdce,75
binary-search,lvnTdce,75
